
Host: WX400847

Timers On : Thu Apr 30 10:42:18 2026
Timers Off: Thu Apr 30 10:42:25 2026

Wall Time:        6.97 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: WX400847

Timers On : Thu Apr 30 10:42:54 2026
Timers Off: Thu Apr 30 10:46:25 2026

Wall Time:      211.86 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Grad: V T Perturb                   :      0.000u      0.000s      0.116w     56 calls
Grad: S                             :      0.000u      0.000s      0.027w     56 calls
Grad: JK                            :      0.000u      0.000s     16.341w     56 calls
JKGrad: Amn                         :      0.000u      0.000s      4.795w     56 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w     56 calls
JKGrad: AB                          :      0.000u      0.000s      1.024w     56 calls
JKGrad: UV                          :      0.000u      0.000s      0.071w     56 calls
JKGrad: ABx                         :      0.000u      0.000s      0.363w     56 calls
JKGrad: Amnx                        :      0.000u      0.000s      8.469w     56 calls
Grad: XC                            :      0.000u      0.000s     19.795w     56 calls
V_xc gradient                       :      0.000u      0.000s      3.244w  30863 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.000u      0.000s      1.860w     56 calls
| build grid                        :      0.000u      0.000s      1.133w     56 calls
| post-process grid                 :      0.000u      0.000s      0.689w     56 calls
DFH: sparsity prep                  :      0.000u      0.000s      3.808w     56 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      2.626w     56 calls
DFH: initialize()                   :      0.000u      0.000s      6.234w     56 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      2.518w    112 calls
| DFH: AO Construction              :      0.000u      0.000s      1.986w     56 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.289w     56 calls
HF: Form core H                     :      0.000u      0.000s      0.832w     56 calls
HF: Form S/X                        :      0.000u      0.000s      0.031w     56 calls
HF: Guess                           :      0.000u      0.000s      8.422w     56 calls
| SAD Guess                         :      0.000u      0.000s      8.292w     56 calls
HF: Form G                          :      0.000u      0.000s    102.120w    704 calls
| RV: Form V                        :      0.000u      0.000s    100.618w    704 calls
| | Properties                      :      0.000u      0.000s     14.081w 387935 calls
| | Functional                      :      0.000u      0.000s     70.751w 387935 calls
| | V_xc                            :      0.000u      0.000s     15.004w 387935 calls
| JK: D                             :      0.000u      0.000s      0.006w    704 calls
| JK: USO2AO                        :      0.000u      0.000s      0.010w    704 calls
| JK: JK                            :      0.000u      0.000s      1.417w    704 calls
| | DFH: compute_JK()               :      0.000u      0.000s      1.413w    704 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    704 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.396w    704 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.761w    704 calls
| JK: AO2USO                        :      0.000u      0.000s      0.009w    704 calls
HF: Form F                          :      0.000u      0.000s      0.008w    704 calls
HF: Form D                          :      0.000u      0.000s      0.007w    704 calls
HF: DIIS                            :      0.000u      0.000s      5.112w    648 calls
HF: Form C                          :      0.000u      0.000s      0.509w    648 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.116w     56 calls
Grad: S                             :      0.000u      0.000s      0.027w     56 calls
Grad: JK                            :      0.000u      0.000s     16.341w     56 calls
| JKGrad: Amn                       :      0.000u      0.000s      4.795w     56 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      2.237w     56 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w     56 calls
| JKGrad: AB                        :      0.000u      0.000s      1.024w     56 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.003w     56 calls
| JKGrad: UV                        :      0.000u      0.000s      0.071w     56 calls
| JKGrad: ABx                       :      0.000u      0.000s      0.363w     56 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.004w     56 calls
| JKGrad: Amnx                      :      0.000u      0.000s      8.469w     56 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      2.629w     56 calls
Grad: XC                            :      0.000u      0.000s     19.795w     56 calls
| Properties                        :      0.000u      0.000s     10.831w  30863 calls
| Functional                        :      0.000u      0.000s      5.568w  30863 calls
| V_xc gradient                     :      0.000u      0.000s      3.244w  30863 calls

**************************************************************************************

Host: WX400847

Timers On : Thu Apr 30 11:31:45 2026
Timers Off: Thu Apr 30 11:37:25 2026

Wall Time:      340.67 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.000u      0.000s      5.189w    155 calls
build grid                          :      0.000u      0.000s      3.155w    155 calls
post-process grid                   :      0.000u      0.000s      1.997w    155 calls
DFH: sparsity prep                  :      0.000u      0.000s      1.130w    155 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      2.571w   1081 calls
DFH: initialize()                   :      0.000u      0.000s      3.518w    155 calls
DFH: AO Construction                :      0.000u      0.000s      0.464w    155 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.054w    155 calls
HF: Form core H                     :      0.000u      0.000s      1.971w    154 calls
HF: Form S/X                        :      0.000u      0.000s      0.050w    154 calls
HF: Guess                           :      0.000u      0.000s      8.046w    154 calls
SAD Guess                           :      0.000u      0.000s      7.691w    154 calls
HF: Form G                          :      0.000u      0.000s    191.166w   1405 calls
RV: Form V                          :      0.000u      0.000s    190.835w   1405 calls
Properties                          :      0.000u      0.000s     31.067w 864130 calls
Functional                          :      0.000u      0.000s    169.610w 864130 calls
V_xc                                :      0.000u      0.000s     17.912w 778777 calls
JK: D                               :      0.000u      0.000s      0.007w   1405 calls
JK: USO2AO                          :      0.000u      0.000s      0.006w   1405 calls
JK: JK                              :      0.000u      0.000s      0.243w   1405 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.238w   1405 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w   1405 calls
DFH: compute_J                      :      0.000u      0.000s      0.107w   1405 calls
DFH: compute_K                      :      0.000u      0.000s      0.113w   1405 calls
JK: AO2USO                          :      0.000u      0.000s      0.002w   1405 calls
HF: Form F                          :      0.000u      0.000s      0.013w   1405 calls
HF: Form D                          :      0.000u      0.000s      0.009w   1405 calls
HF: DIIS                            :      0.000u      0.000s      8.920w   1251 calls
HF: Form C                          :      0.000u      0.000s      0.832w   1251 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.063w    154 calls
Grad: S                             :      0.000u      0.000s      0.017w    154 calls
Grad: JK                            :      0.000u      0.000s      9.542w    154 calls
JKGrad: Amn                         :      0.000u      0.000s      1.953w    154 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w    154 calls
JKGrad: AB                          :      0.000u      0.000s      1.160w    154 calls
JKGrad: UV                          :      0.000u      0.000s      0.043w    154 calls
JKGrad: ABx                         :      0.000u      0.000s      0.368w    154 calls
JKGrad: Amnx                        :      0.000u      0.000s      2.310w    154 calls
Grad: XC                            :      0.000u      0.000s     35.061w    154 calls
V_xc gradient                       :      0.000u      0.000s      5.333w  85353 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.000u      0.000s      5.189w    155 calls
| build grid                        :      0.000u      0.000s      3.155w    155 calls
| post-process grid                 :      0.000u      0.000s      1.997w    155 calls
DFH: sparsity prep                  :      0.000u      0.000s      1.130w    155 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.815w    155 calls
DFH: initialize()                   :      0.000u      0.000s      3.518w    155 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.564w    310 calls
| DFH: AO Construction              :      0.000u      0.000s      0.464w    155 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.054w    155 calls
HF: Form core H                     :      0.000u      0.000s      1.971w    154 calls
HF: Form S/X                        :      0.000u      0.000s      0.050w    154 calls
HF: Guess                           :      0.000u      0.000s      8.046w    154 calls
| SAD Guess                         :      0.000u      0.000s      7.691w    154 calls
HF: Form G                          :      0.000u      0.000s    191.166w   1405 calls
| RV: Form V                        :      0.000u      0.000s    190.835w   1405 calls
| | Properties                      :      0.000u      0.000s     18.214w 778777 calls
| | Functional                      :      0.000u      0.000s    153.175w 778777 calls
| | V_xc                            :      0.000u      0.000s     17.912w 778777 calls
| JK: D                             :      0.000u      0.000s      0.007w   1405 calls
| JK: USO2AO                        :      0.000u      0.000s      0.006w   1405 calls
| JK: JK                            :      0.000u      0.000s      0.243w   1405 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.238w   1405 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w   1405 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.107w   1405 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.113w   1405 calls
| JK: AO2USO                        :      0.000u      0.000s      0.002w   1405 calls
HF: Form F                          :      0.000u      0.000s      0.013w   1405 calls
HF: Form D                          :      0.000u      0.000s      0.009w   1405 calls
HF: DIIS                            :      0.000u      0.000s      8.920w   1251 calls
HF: Form C                          :      0.000u      0.000s      0.832w   1251 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.063w    154 calls
Grad: S                             :      0.000u      0.000s      0.017w    154 calls
Grad: JK                            :      0.000u      0.000s      9.542w    154 calls
| JKGrad: Amn                       :      0.000u      0.000s      1.953w    154 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.526w    154 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w    154 calls
| JKGrad: AB                        :      0.000u      0.000s      1.160w    154 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.006w    154 calls
| JKGrad: UV                        :      0.000u      0.000s      0.043w    154 calls
| JKGrad: ABx                       :      0.000u      0.000s      0.368w    154 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.006w    154 calls
| JKGrad: Amnx                      :      0.000u      0.000s      2.310w    154 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.653w    154 calls
Grad: XC                            :      0.000u      0.000s     35.061w    154 calls
| Properties                        :      0.000u      0.000s     12.852w  85353 calls
| Functional                        :      0.000u      0.000s     16.435w  85353 calls
| V_xc gradient                     :      0.000u      0.000s      5.333w  85353 calls

**************************************************************************************

Host: WX400847

Timers On : Thu Apr 30 11:38:55 2026
Timers Off: Thu Apr 30 11:42:45 2026

Wall Time:      229.73 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.000u      0.000s      3.507w    105 calls
build grid                          :      0.000u      0.000s      2.134w    105 calls
post-process grid                   :      0.000u      0.000s      1.355w    105 calls
DFH: sparsity prep                  :      0.000u      0.000s      0.723w    105 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      1.710w    731 calls
DFH: initialize()                   :      0.000u      0.000s      2.205w    105 calls
DFH: AO Construction                :      0.000u      0.000s      0.298w    105 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.074w    105 calls
HF: Form core H                     :      0.000u      0.000s      1.276w    105 calls
HF: Form S/X                        :      0.000u      0.000s      0.031w    105 calls
HF: Guess                           :      0.000u      0.000s      5.765w    105 calls
SAD Guess                           :      0.000u      0.000s      5.531w    105 calls
HF: Form G                          :      0.000u      0.000s    127.512w    953 calls
RV: Form V                          :      0.000u      0.000s    127.218w    953 calls
Properties                          :      0.000u      0.000s     20.158w 586319 calls
Functional                          :      0.000u      0.000s    113.138w 586319 calls
V_xc                                :      0.000u      0.000s     12.178w 528633 calls
JK: D                               :      0.000u      0.000s      0.005w    953 calls
JK: USO2AO                          :      0.000u      0.000s      0.006w    953 calls
JK: JK                              :      0.000u      0.000s      0.177w    953 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.172w    953 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.001w    953 calls
DFH: compute_J                      :      0.000u      0.000s      0.089w    953 calls
DFH: compute_K                      :      0.000u      0.000s      0.070w    953 calls
JK: AO2USO                          :      0.000u      0.000s      0.002w    953 calls
HF: Form F                          :      0.000u      0.000s      0.011w    953 calls
HF: Form D                          :      0.000u      0.000s      0.005w    952 calls
HF: DIIS                            :      0.000u      0.000s      5.939w    847 calls
HF: Form C                          :      0.000u      0.000s      0.553w    847 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.042w    104 calls
Grad: S                             :      0.000u      0.000s      0.013w    104 calls
Grad: JK                            :      0.000u      0.000s      6.496w    104 calls
JKGrad: Amn                         :      0.000u      0.000s      1.309w    104 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w    104 calls
JKGrad: AB                          :      0.000u      0.000s      0.734w    104 calls
JKGrad: UV                          :      0.000u      0.000s      0.028w    104 calls
JKGrad: ABx                         :      0.000u      0.000s      0.270w    104 calls
JKGrad: Amnx                        :      0.000u      0.000s      1.501w    104 calls
Grad: XC                            :      0.000u      0.000s     23.189w    104 calls
V_xc gradient                       :      0.000u      0.000s      3.629w  57686 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.000u      0.000s      3.507w    105 calls
| build grid                        :      0.000u      0.000s      2.134w    105 calls
| post-process grid                 :      0.000u      0.000s      1.355w    105 calls
DFH: sparsity prep                  :      0.000u      0.000s      0.723w    105 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.533w    105 calls
DFH: initialize()                   :      0.000u      0.000s      2.205w    105 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.366w    210 calls
| DFH: AO Construction              :      0.000u      0.000s      0.298w    105 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.074w    105 calls
HF: Form core H                     :      0.000u      0.000s      1.276w    105 calls
HF: Form S/X                        :      0.000u      0.000s      0.031w    105 calls
HF: Guess                           :      0.000u      0.000s      5.765w    105 calls
| SAD Guess                         :      0.000u      0.000s      5.531w    105 calls
HF: Form G                          :      0.000u      0.000s    127.512w    953 calls
| RV: Form V                        :      0.000u      0.000s    127.218w    953 calls
| | Properties                      :      0.000u      0.000s     11.828w 528633 calls
| | Functional                      :      0.000u      0.000s    102.163w 528633 calls
| | V_xc                            :      0.000u      0.000s     12.178w 528633 calls
| JK: D                             :      0.000u      0.000s      0.005w    953 calls
| JK: USO2AO                        :      0.000u      0.000s      0.006w    953 calls
| JK: JK                            :      0.000u      0.000s      0.177w    953 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.172w    953 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.001w    953 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.089w    953 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.070w    953 calls
| JK: AO2USO                        :      0.000u      0.000s      0.002w    953 calls
HF: Form F                          :      0.000u      0.000s      0.011w    953 calls
HF: Form D                          :      0.000u      0.000s      0.005w    952 calls
HF: DIIS                            :      0.000u      0.000s      5.939w    848 calls
HF: Form C                          :      0.000u      0.000s      0.553w    847 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.042w    104 calls
Grad: S                             :      0.000u      0.000s      0.013w    104 calls
Grad: JK                            :      0.000u      0.000s      6.496w    104 calls
| JKGrad: Amn                       :      0.000u      0.000s      1.309w    104 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.375w    104 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w    104 calls
| JKGrad: AB                        :      0.000u      0.000s      0.734w    104 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.004w    104 calls
| JKGrad: UV                        :      0.000u      0.000s      0.028w    104 calls
| JKGrad: ABx                       :      0.000u      0.000s      0.270w    104 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.005w    104 calls
| JKGrad: Amnx                      :      0.000u      0.000s      1.501w    104 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.426w    104 calls
Grad: XC                            :      0.000u      0.000s     23.189w    104 calls
| Properties                        :      0.000u      0.000s      8.329w  57686 calls
| Functional                        :      0.000u      0.000s     10.975w  57686 calls
| V_xc gradient                     :      0.000u      0.000s      3.629w  57686 calls

**************************************************************************************

Host: WX400847

Timers On : Thu Apr 30 11:43:54 2026
Timers Off: Thu Apr 30 11:45:20 2026

Wall Time:       85.50 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.000u      0.000s      1.423w     39 calls
build grid                          :      0.000u      0.000s      0.808w     39 calls
post-process grid                   :      0.000u      0.000s      0.609w     39 calls
DFH: sparsity prep                  :      0.000u      0.000s      0.241w     39 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.587w    273 calls
DFH: initialize()                   :      0.000u      0.000s      0.677w     39 calls
DFH: AO Construction                :      0.000u      0.000s      0.101w     39 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.015w     39 calls
HF: Form core H                     :      0.000u      0.000s      0.419w     39 calls
HF: Form S/X                        :      0.000u      0.000s      0.012w     39 calls
HF: Guess                           :      0.000u      0.000s      2.016w     39 calls
SAD Guess                           :      0.000u      0.000s      1.930w     39 calls
HF: Form G                          :      0.000u      0.000s     46.159w    355 calls
RV: Form V                          :      0.000u      0.000s     46.056w    355 calls
Properties                          :      0.000u      0.000s      6.999w 219193 calls
Functional                          :      0.000u      0.000s     41.045w 219193 calls
V_xc                                :      0.000u      0.000s      4.283w 197496 calls
JK: D                               :      0.000u      0.000s      0.003w    355 calls
JK: USO2AO                          :      0.000u      0.000s      0.005w    355 calls
JK: JK                              :      0.000u      0.000s      0.058w    355 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.057w    355 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    355 calls
DFH: compute_J                      :      0.000u      0.000s      0.024w    355 calls
DFH: compute_K                      :      0.000u      0.000s      0.028w    355 calls
JK: AO2USO                          :      0.000u      0.000s      0.002w    355 calls
HF: Form F                          :      0.000u      0.000s      0.003w    355 calls
HF: Form D                          :      0.000u      0.000s      0.004w    355 calls
HF: DIIS                            :      0.000u      0.000s      2.554w    316 calls
HF: Form C                          :      0.000u      0.000s      0.199w    316 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.016w     39 calls
Grad: S                             :      0.000u      0.000s      0.004w     39 calls
Grad: JK                            :      0.000u      0.000s      2.073w     39 calls
JKGrad: Amn                         :      0.000u      0.000s      0.469w     39 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w     39 calls
JKGrad: AB                          :      0.000u      0.000s      0.271w     39 calls
JKGrad: UV                          :      0.000u      0.000s      0.010w     39 calls
JKGrad: ABx                         :      0.000u      0.000s      0.086w     39 calls
JKGrad: Amnx                        :      0.000u      0.000s      0.551w     39 calls
Grad: XC                            :      0.000u      0.000s      7.897w     39 calls
V_xc gradient                       :      0.000u      0.000s      1.187w  21697 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.000u      0.000s      1.423w     39 calls
| build grid                        :      0.000u      0.000s      0.808w     39 calls
| post-process grid                 :      0.000u      0.000s      0.609w     39 calls
DFH: sparsity prep                  :      0.000u      0.000s      0.241w     39 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.177w     39 calls
DFH: initialize()                   :      0.000u      0.000s      0.677w     39 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.128w     78 calls
| DFH: AO Construction              :      0.000u      0.000s      0.101w     39 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.015w     39 calls
HF: Form core H                     :      0.000u      0.000s      0.419w     39 calls
HF: Form S/X                        :      0.000u      0.000s      0.012w     39 calls
HF: Guess                           :      0.000u      0.000s      2.016w     39 calls
| SAD Guess                         :      0.000u      0.000s      1.930w     39 calls
HF: Form G                          :      0.000u      0.000s     46.159w    355 calls
| RV: Form V                        :      0.000u      0.000s     46.056w    355 calls
| | Properties                      :      0.000u      0.000s      4.241w 197496 calls
| | Functional                      :      0.000u      0.000s     37.181w 197496 calls
| | V_xc                            :      0.000u      0.000s      4.283w 197496 calls
| JK: D                             :      0.000u      0.000s      0.003w    355 calls
| JK: USO2AO                        :      0.000u      0.000s      0.005w    355 calls
| JK: JK                            :      0.000u      0.000s      0.058w    355 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.057w    355 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    355 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.024w    355 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.028w    355 calls
| JK: AO2USO                        :      0.000u      0.000s      0.002w    355 calls
HF: Form F                          :      0.000u      0.000s      0.003w    355 calls
HF: Form D                          :      0.000u      0.000s      0.004w    355 calls
HF: DIIS                            :      0.000u      0.000s      2.554w    316 calls
HF: Form C                          :      0.000u      0.000s      0.199w    316 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.016w     39 calls
Grad: S                             :      0.000u      0.000s      0.004w     39 calls
Grad: JK                            :      0.000u      0.000s      2.073w     39 calls
| JKGrad: Amn                       :      0.000u      0.000s      0.469w     39 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.125w     39 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w     39 calls
| JKGrad: AB                        :      0.000u      0.000s      0.271w     39 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.002w     39 calls
| JKGrad: UV                        :      0.000u      0.000s      0.010w     39 calls
| JKGrad: ABx                       :      0.000u      0.000s      0.086w     39 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.002w     39 calls
| JKGrad: Amnx                      :      0.000u      0.000s      0.551w     39 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.154w     39 calls
Grad: XC                            :      0.000u      0.000s      7.897w     39 calls
| Properties                        :      0.000u      0.000s      2.758w  21697 calls
| Functional                        :      0.000u      0.000s      3.864w  21697 calls
| V_xc gradient                     :      0.000u      0.000s      1.187w  21697 calls

**************************************************************************************

Host: WX400847

Timers On : Thu Apr 30 11:45:31 2026
Timers Off: Thu Apr 30 11:47:52 2026

Wall Time:      141.08 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.000u      0.000s      1.779w     40 calls
build grid                          :      0.000u      0.000s      1.020w     40 calls
post-process grid                   :      0.000u      0.000s      0.750w     40 calls
DFH: sparsity prep                  :      0.000u      0.000s      2.800w     40 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      6.920w    280 calls
DFH: initialize()                   :      0.000u      0.000s      4.490w     40 calls
DFH: AO Construction                :      0.000u      0.000s      1.437w     40 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.205w     40 calls
HF: Form core H                     :      0.000u      0.000s      0.590w     40 calls
HF: Form S/X                        :      0.000u      0.000s      0.020w     40 calls
HF: Guess                           :      0.000u      0.000s      6.299w     40 calls
SAD Guess                           :      0.000u      0.000s      6.205w     40 calls
HF: Form G                          :      0.000u      0.000s     69.583w    505 calls
RV: Form V                          :      0.000u      0.000s     68.533w    505 calls
Properties                          :      0.000u      0.000s     16.627w 296877 calls
Functional                          :      0.000u      0.000s     52.421w 296877 calls
V_xc                                :      0.000u      0.000s     10.061w 275088 calls
JK: D                               :      0.000u      0.000s      0.004w    505 calls
JK: USO2AO                          :      0.000u      0.000s      0.009w    505 calls
JK: JK                              :      0.000u      0.000s      0.980w    505 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.976w    505 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    505 calls
DFH: compute_J                      :      0.000u      0.000s      0.265w    505 calls
DFH: compute_K                      :      0.000u      0.000s      0.523w    505 calls
JK: AO2USO                          :      0.000u      0.000s      0.009w    505 calls
HF: Form F                          :      0.000u      0.000s      0.005w    505 calls
HF: Form D                          :      0.000u      0.000s      0.004w    505 calls
HF: DIIS                            :      0.000u      0.000s      3.356w    465 calls
HF: Form C                          :      0.000u      0.000s      0.324w    465 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.075w     40 calls
Grad: S                             :      0.000u      0.000s      0.019w     40 calls
Grad: JK                            :      0.000u      0.000s     10.711w     40 calls
JKGrad: Amn                         :      0.000u      0.000s      3.255w     40 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w     40 calls
JKGrad: AB                          :      0.000u      0.000s      0.750w     40 calls
JKGrad: UV                          :      0.000u      0.000s      0.055w     40 calls
JKGrad: ABx                         :      0.000u      0.000s      0.220w     40 calls
JKGrad: Amnx                        :      0.000u      0.000s      5.553w     40 calls
Grad: XC                            :      0.000u      0.000s     13.370w     40 calls
V_xc gradient                       :      0.000u      0.000s      2.156w  21789 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.000u      0.000s      1.779w     40 calls
| build grid                        :      0.000u      0.000s      1.020w     40 calls
| post-process grid                 :      0.000u      0.000s      0.750w     40 calls
DFH: sparsity prep                  :      0.000u      0.000s      2.800w     40 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      1.967w     40 calls
DFH: initialize()                   :      0.000u      0.000s      4.490w     40 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      1.723w     80 calls
| DFH: AO Construction              :      0.000u      0.000s      1.437w     40 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.205w     40 calls
HF: Form core H                     :      0.000u      0.000s      0.590w     40 calls
HF: Form S/X                        :      0.000u      0.000s      0.020w     40 calls
HF: Guess                           :      0.000u      0.000s      6.299w     40 calls
| SAD Guess                         :      0.000u      0.000s      6.205w     40 calls
HF: Form G                          :      0.000u      0.000s     69.583w    505 calls
| RV: Form V                        :      0.000u      0.000s     68.533w    505 calls
| | Properties                      :      0.000u      0.000s      9.369w 275088 calls
| | Functional                      :      0.000u      0.000s     48.573w 275088 calls
| | V_xc                            :      0.000u      0.000s     10.061w 275088 calls
| JK: D                             :      0.000u      0.000s      0.004w    505 calls
| JK: USO2AO                        :      0.000u      0.000s      0.009w    505 calls
| JK: JK                            :      0.000u      0.000s      0.980w    505 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.976w    505 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    505 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.265w    505 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.523w    505 calls
| JK: AO2USO                        :      0.000u      0.000s      0.009w    505 calls
HF: Form F                          :      0.000u      0.000s      0.005w    505 calls
HF: Form D                          :      0.000u      0.000s      0.004w    505 calls
HF: DIIS                            :      0.000u      0.000s      3.356w    465 calls
HF: Form C                          :      0.000u      0.000s      0.324w    465 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.075w     40 calls
Grad: S                             :      0.000u      0.000s      0.019w     40 calls
Grad: JK                            :      0.000u      0.000s     10.711w     40 calls
| JKGrad: Amn                       :      0.000u      0.000s      3.255w     40 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      1.501w     40 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w     40 calls
| JKGrad: AB                        :      0.000u      0.000s      0.750w     40 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.003w     40 calls
| JKGrad: UV                        :      0.000u      0.000s      0.055w     40 calls
| JKGrad: ABx                       :      0.000u      0.000s      0.220w     40 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.002w     40 calls
| JKGrad: Amnx                      :      0.000u      0.000s      5.553w     40 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      1.724w     40 calls
Grad: XC                            :      0.000u      0.000s     13.370w     40 calls
| Properties                        :      0.000u      0.000s      7.258w  21789 calls
| Functional                        :      0.000u      0.000s      3.848w  21789 calls
| V_xc gradient                     :      0.000u      0.000s      2.156w  21789 calls

**************************************************************************************

Host: WX400847

Timers On : Thu Apr 30 11:52:22 2026
Timers Off: Thu Apr 30 11:55:19 2026

Wall Time:      176.08 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
